ColdPairs, Result,Num1,Num2
16 - 33,this pair of numbers was not found,16,33
2 - 11,this pair of numbers was not found,2,11
1 - 20,this pair of numbers was not found,1,20
12 - 24,Last drawing a pair: 593 draws ago,12,24
10 - 21,Last drawing a pair: 581 draws ago,10,21
18 - 20,Last drawing a pair: 581 draws ago,18,20
21 - 49,Last drawing a pair: 575 draws ago,21,49
20 - 25,Last drawing a pair: 574 draws ago,20,25
3 - 44,Last drawing a pair: 553 draws ago,3,44
35 - 41,Last drawing a pair: 553 draws ago,35,41
13 - 35,Last drawing a pair: 544 draws ago,13,35
11 - 45,Last drawing a pair: 543 draws ago,11,45
10 - 34,Last drawing a pair: 532 draws ago,10,34
10 - 13,Last drawing a pair: 532 draws ago,10,13
30 - 33,Last drawing a pair: 515 draws ago,30,33
3 - 35,Last drawing a pair: 504 draws ago,3,35
11 - 49,Last drawing a pair: 501 draws ago,11,49
5 - 8,Last drawing a pair: 493 draws ago,5,8
34 - 39,Last drawing a pair: 483 draws ago,34,39
30 - 46,Last drawing a pair: 470 draws ago,30,46
40 - 48,Last drawing a pair: 469 draws ago,40,48
26 - 41,Last drawing a pair: 466 draws ago,26,41
11 - 24,Last drawing a pair: 453 draws ago,11,24
13 - 39,Last drawing a pair: 450 draws ago,13,39
13 - 36,Last drawing a pair: 450 draws ago,13,36
25 - 45,Last drawing a pair: 442 draws ago,25,45
18 - 19,Last drawing a pair: 430 draws ago,18,19
4 - 34,Last drawing a pair: 421 draws ago,4,34
24 - 42,Last drawing a pair: 419 draws ago,24,42
9 - 19,Last drawing a pair: 413 draws ago,9,19
5 - 31,Last drawing a pair: 409 draws ago,5,31
9 - 32,Last drawing a pair: 401 draws ago,9,32
18 - 37,Last drawing a pair: 400 draws ago,18,37
24 - 48,Last drawing a pair: 390 draws ago,24,48
2 - 24,Last drawing a pair: 390 draws ago,2,24
29 - 38,Last drawing a pair: 389 draws ago,29,38
19 - 36,Last drawing a pair: 385 draws ago,19,36
19 - 27,Last drawing a pair: 379 draws ago,19,27
10 - 19,Last drawing a pair: 379 draws ago,10,19
1 - 21,Last drawing a pair: 374 draws ago,1,21
6 - 13,Last drawing a pair: 368 draws ago,6,13
12 - 29,Last drawing a pair: 360 draws ago,12,29
3 - 6,Last drawing a pair: 360 draws ago,3,6
26 - 36,Last drawing a pair: 357 draws ago,26,36
22 - 32,Last drawing a pair: 356 draws ago,22,32
1 - 32,Last drawing a pair: 356 draws ago,1,32
7 - 35,Last drawing a pair: 355 draws ago,7,35
9 - 49,Last drawing a pair: 352 draws ago,9,49
9 - 44,Last drawing a pair: 352 draws ago,9,44
36 - 37,Last drawing a pair: 346 draws ago,36,37
10 - 36,Last drawing a pair: 345 draws ago,10,36
15 - 32,Last drawing a pair: 344 draws ago,15,32
3 - 29,Last drawing a pair: 342 draws ago,3,29
13 - 25,Last drawing a pair: 342 draws ago,13,25
13 - 26,Last drawing a pair: 342 draws ago,13,26
6 - 24,Last drawing a pair: 341 draws ago,6,24
24 - 35,Last drawing a pair: 341 draws ago,24,35
41 - 43,Last drawing a pair: 338 draws ago,41,43
7 - 20,Last drawing a pair: 326 draws ago,7,20
7 - 42,Last drawing a pair: 326 draws ago,7,42
22 - 25,Last drawing a pair: 324 draws ago,22,25
5 - 42,Last drawing a pair: 322 draws ago,5,42
24 - 40,Last drawing a pair: 321 draws ago,24,40
27 - 40,Last drawing a pair: 321 draws ago,27,40
21 - 40,Last drawing a pair: 321 draws ago,21,40
10 - 37,Last drawing a pair: 320 draws ago,10,37
2 - 40,Last drawing a pair: 319 draws ago,2,40
4 - 23,Last drawing a pair: 314 draws ago,4,23
12 - 37,Last drawing a pair: 313 draws ago,12,37
13 - 21,Last drawing a pair: 313 draws ago,13,21
1 - 42,Last drawing a pair: 312 draws ago,1,42
1 - 25,Last drawing a pair: 312 draws ago,1,25
19 - 26,Last drawing a pair: 311 draws ago,19,26
11 - 31,Last drawing a pair: 310 draws ago,11,31
11 - 47,Last drawing a pair: 309 draws ago,11,47
6 - 19,Last drawing a pair: 306 draws ago,6,19
30 - 35,Last drawing a pair: 304 draws ago,30,35
8 - 16,Last drawing a pair: 303 draws ago,8,16
16 - 22,Last drawing a pair: 303 draws ago,16,22
8 - 37,Last drawing a pair: 303 draws ago,8,37
19 - 39,Last drawing a pair: 302 draws ago,19,39
2 - 19,Last drawing a pair: 302 draws ago,2,19
44 - 45,Last drawing a pair: 299 draws ago,44,45
21 - 45,Last drawing a pair: 299 draws ago,21,45
13 - 42,Last drawing a pair: 297 draws ago,13,42
9 - 42,Last drawing a pair: 297 draws ago,9,42
4 - 9,Last drawing a pair: 296 draws ago,4,9
4 - 30,Last drawing a pair: 296 draws ago,4,30
19 - 49,Last drawing a pair: 291 draws ago,19,49
36 - 47,Last drawing a pair: 288 draws ago,36,47
5 - 36,Last drawing a pair: 288 draws ago,5,36
8 - 25,Last drawing a pair: 287 draws ago,8,25
2 - 10,Last drawing a pair: 286 draws ago,2,10
20 - 33,Last drawing a pair: 285 draws ago,20,33
19 - 28,Last drawing a pair: 284 draws ago,19,28
11 - 28,Last drawing a pair: 284 draws ago,11,28
1 - 19,Last drawing a pair: 284 draws ago,1,19
22 - 48,Last drawing a pair: 283 draws ago,22,48
12 - 31,Last drawing a pair: 282 draws ago,12,31
10 - 22,Last drawing a pair: 281 draws ago,10,22
